,Unnamed: 0,carat,cut,color,clarity,depth,table,price,x,y,z
46429,46430,0.54,Premium,D,SI1,58.3,61.0,1770,5.38,5.32,3.12
30157,30158,0.4,Good,D,SI1,63.1,61.0,720,4.67,4.71,2.96
46593,46594,0.54,Ideal,F,VS2,60.3,55.0,1786,5.32,5.26,3.19
3979,3980,1.0,Premium,H,SI1,62.2,51.0,3511,6.47,6.4,4.0
7090,7091,0.91,Premium,D,SI1,61.5,59.0,4165,6.25,6.18,3.82
27270,27271,1.99,Fair,H,VS2,60.5,63.0,17713,8.2,8.11,4.93
36968,36969,0.41,Premium,G,VS1,62.6,58.0,961,4.75,4.7,2.96
26985,26986,2.01,Premium,H,VS2,60.1,61.0,17068,8.14,8.06,4.87
20322,20323,1.5,Good,J,VS1,63.3,57.0,8736,7.2,7.24,4.57
46838,46839,0.51,Ideal,D,VS1,62.2,55.0,1810,5.15,5.17,3.21
42297,42298,0.32,Ideal,H,VS2,62.0,55.0,505,4.38,4.4,2.72
39315,39316,0.53,Very Good,G,SI2,60.8,58.0,1070,5.19,5.21,3.16
42252,42253,0.5,Very Good,E,SI1,63.7,58.0,1293,5.02,5.06,3.21
43762,43763,0.53,Ideal,G,SI1,61.0,55.0,1439,5.23,5.26,3.2
27080,27081,2.6,Premium,J,SI2,58.3,61.0,17209,9.05,8.94,5.24
50549,50550,0.7,Very Good,G,SI1,63.0,59.0,2276,5.64,5.67,3.56
33865,33866,0.3,Ideal,E,VS2,61.8,55.0,844,4.35,4.33,2.68
52447,52448,0.78,Very Good,F,SI2,63.0,57.0,2515,5.85,5.9,3.7
43912,43913,0.3,Good,H,VS1,63.2,59.0,512,4.31,4.27,2.71
12471,12472,1.25,Premium,I,SI1,62.5,59.0,5250,6.89,6.81,4.28
27865,27866,0.3,Very Good,E,VS1,61.4,59.0,653,4.32,4.28,2.64
17863,17864,1.5,Good,I,SI1,64.2,56.0,7207,7.25,7.14,4.62
21531,21532,1.17,Ideal,G,VVS2,61.6,56.0,9630,6.77,6.83,4.18
35039,35040,0.44,Ideal,D,SI1,62.4,57.0,883,4.86,4.89,3.04
7104,7105,1.08,Very Good,F,SI2,63.3,59.0,4167,6.48,6.44,4.09
45981,45982,0.3,Very Good,H,VS1,62.9,54.0,526,4.28,4.31,2.7
15499,15500,1.1,Premium,D,VS2,60.0,59.0,6209,6.67,6.6,3.98
18068,18069,1.08,Ideal,G,VS2,62.3,57.0,7295,6.53,6.57,4.08
45829,45830,0.5,Fair,G,VVS2,64.9,58.0,1712,5.0,4.95,3.23
18853,18854,1.5,Very Good,E,SI2,63.3,57.0,7728,7.28,7.23,4.59
4056,4057,0.36,Ideal,G,SI1,61.5,54.0,571,4.6,4.63,2.84
39258,39259,0.38,Ideal,E,VS1,62.1,56.0,1069,4.65,4.62,2.88
19705,19706,0.33,Premium,H,VS2,58.8,62.0,624,4.53,4.49,2.65
7191,7192,0.9,Good,D,SI1,62.0,62.0,4187,6.06,6.1,3.77
35922,35923,0.43,Ideal,E,SI2,62.1,56.0,919,4.85,4.84,3.01
938,939,0.8,Fair,E,SI1,56.3,63.0,2885,6.22,6.14,3.48
29591,29592,0.32,Ideal,D,SI1,62.9,56.0,706,4.4,4.38,2.76
40371,40372,0.41,Premium,E,VVS1,60.0,61.0,1130,4.86,4.78,2.89
39060,39061,0.7,Fair,H,I1,66.5,57.0,1058,5.51,5.4,3.64
1072,1073,0.31,Premium,I,VS2,62.3,60.0,558,4.32,4.31,2.69
12130,12131,0.93,Ideal,H,VS1,61.8,57.0,5171,6.23,6.27,3.86
46743,46744,0.72,Good,H,SI2,64.1,58.0,1799,5.68,5.65,3.63
26927,26928,2.07,Premium,E,SI1,61.2,58.0,16957,8.24,8.19,5.03
28353,28354,0.4,Very Good,D,SI1,63.4,58.0,667,4.64,4.67,2.95
27029,27030,2.0,Premium,F,SI1,58.8,61.0,17172,8.29,8.23,4.86
10896,10897,0.9,Ideal,G,VS2,60.8,57.0,4884,6.26,6.17,3.78
11427,11428,1.01,Very Good,E,SI1,63.1,60.0,5002,6.37,6.34,4.01
37700,37701,0.5,Fair,F,SI1,66.5,59.0,994,5.01,4.91,3.3
19272,19273,1.15,Ideal,G,VS1,61.9,56.0,7999,6.71,6.73,4.16
50754,50755,0.72,Ideal,F,SI2,61.7,55.0,2298,5.79,5.75,3.56
18713,18714,0.27,Very Good,E,VVS1,60.9,59.0,620,4.17,4.21,2.55
18151,18152,1.52,Ideal,J,SI1,61.9,57.0,7356,7.33,7.37,4.55
15102,15103,1.05,Premium,G,VS2,61.8,58.0,6070,6.52,6.59,4.05
32459,32460,0.36,Ideal,G,VVS2,61.5,55.0,794,4.58,4.62,2.83
30718,30719,0.35,Fair,E,VVS2,66.2,61.0,738,4.4,4.36,2.9
1111,1112,0.83,Very Good,I,VS2,62.0,55.0,2915,6.03,6.06,3.74
48820,48821,0.72,Very Good,J,VS2,62.2,58.0,2028,5.68,5.73,3.55
42985,42986,0.55,Ideal,I,SI1,61.3,56.0,1367,5.29,5.34,3.26
29635,29636,0.3,Ideal,H,SI1,62.4,53.7,442,4.29,4.31,2.68
12789,12790,1.12,Ideal,H,SI2,63.6,56.0,5331,6.68,6.54,4.19
52504,52505,0.72,Ideal,E,SI2,61.4,55.0,2526,5.78,5.8,3.56
6084,6085,0.8,Ideal,H,IF,62.4,54.0,3972,5.93,5.99,3.72
15253,15254,1.21,Very Good,D,SI2,62.3,59.0,6125,6.74,6.78,4.21
45663,45664,0.59,Good,D,SI1,63.7,56.0,1694,5.32,5.35,3.4
32102,32103,0.33,Ideal,D,VS2,61.9,56.0,781,4.42,4.44,2.74
90,91,0.7,Ideal,E,SI1,62.5,57.0,2757,5.7,5.72,3.57
35673,35674,0.4,Ideal,D,VS2,62.2,55.0,909,4.72,4.74,2.94
26937,26938,2.41,Ideal,I,SI2,62.5,57.0,16987,8.57,8.51,5.34
49540,49541,0.7,Fair,E,SI1,65.1,56.0,2125,5.49,5.41,3.55
13949,13950,1.14,Ideal,G,SI2,61.5,55.0,5675,6.78,6.71,4.15
28126,28127,0.29,Very Good,F,VVS2,60.2,58.0,664,4.29,4.35,2.6
38254,38255,0.31,Premium,J,VS2,62.4,60.0,380,4.29,4.33,2.69
17231,17232,1.04,Premium,G,VVS1,58.2,60.0,6890,6.71,6.66,3.89
32185,32186,0.41,Ideal,I,VVS2,61.6,55.0,788,4.78,4.8,2.95
38828,38829,0.43,Ideal,E,VS2,61.9,56.0,1048,4.88,4.85,3.01
11433,11434,1.11,Ideal,E,SI2,62.8,55.0,5004,6.62,6.6,4.15
498,499,0.7,Ideal,D,SI1,60.7,56.0,2822,5.75,5.72,3.48
44957,44958,0.58,Ideal,E,SI1,61.5,55.0,1636,5.34,5.39,3.3
23455,23456,1.42,Very Good,G,VS1,62.7,55.0,11452,7.11,7.17,4.48
35462,35463,0.31,Ideal,F,IF,61.1,55.0,901,4.41,4.43,2.7
53473,53474,0.76,Ideal,E,SI2,61.5,57.0,2680,5.83,5.87,3.6
18762,18763,1.07,Premium,E,VS2,59.3,56.0,7670,6.71,6.69,3.97
24238,24239,2.11,Premium,J,SI2,60.7,60.0,12440,8.2,8.27,5.0
27367,27368,0.28,Premium,E,VVS1,61.3,60.0,646,4.18,4.21,2.57
23865,23866,1.55,Very Good,F,SI1,63.1,56.0,11957,7.4,7.38,4.66
38664,38665,0.42,Premium,D,SI1,62.8,58.0,1040,4.79,4.76,3.0
5145,5146,1.51,Fair,H,I1,65.6,61.0,3765,7.16,7.0,4.66
42813,42814,0.52,Very Good,F,SI1,60.3,61.0,1354,5.21,5.27,3.16
52775,52776,0.91,Premium,F,SI2,59.8,58.0,2564,6.29,6.26,3.75
8600,8601,1.03,Good,D,SI1,64.3,58.0,4441,6.31,6.28,4.05
7487,7488,1.02,Premium,F,SI2,62.0,59.0,4238,6.42,6.33,3.95
49430,49431,0.7,Ideal,H,SI1,61.1,58.0,2107,5.69,5.7,3.48
14865,14866,1.01,Very Good,F,VS2,61.4,54.0,5988,6.4,6.47,3.95
52658,52659,0.71,Very Good,I,VVS1,63.0,58.0,2549,5.6,5.67,3.55
13897,13898,1.01,Premium,D,SI1,62.2,53.0,5656,6.47,6.43,4.01
13757,13758,2.22,Fair,J,I1,66.7,56.0,5607,8.04,8.02,5.36
52689,52690,0.71,Premium,E,SI1,60.1,60.0,2552,5.78,5.73,3.45
34778,34779,0.41,Ideal,D,SI2,62.7,55.0,876,4.75,4.72,2.97
39547,39548,0.32,Ideal,G,VVS1,61.1,53.0,1080,4.44,4.4,2.7
38510,38511,0.5,Fair,G,VS2,65.7,57.0,1031,4.97,4.9,3.24
6493,6494,1.02,Premium,I,SI2,62.2,58.0,4061,6.41,6.36,3.97
42898,42899,0.54,Premium,E,SI1,60.2,58.0,1361,5.27,5.3,3.18
44609,44610,0.53,Ideal,E,SI1,60.6,57.0,1607,5.27,5.23,3.18
28323,28324,0.33,Very Good,G,VS1,62.0,59.0,666,4.36,4.42,2.72
6516,6517,1.1,Good,E,SI2,63.3,56.0,4065,6.53,6.58,4.15
28034,28035,0.3,Ideal,E,VS2,62.5,56.0,658,4.28,4.3,2.68
34417,34418,0.3,Ideal,G,IF,62.1,55.0,863,4.32,4.34,2.69
44436,44437,0.51,Good,G,VS1,63.4,57.0,1590,5.04,5.08,3.21
20570,20571,1.21,Premium,F,VS1,62.5,60.0,8879,6.77,6.7,4.21
47911,47912,0.59,Very Good,G,VS1,57.4,63.0,1915,5.54,5.58,3.19
15486,15487,1.08,Ideal,D,SI1,61.3,56.0,6203,6.63,6.72,4.09
4645,4646,0.91,Premium,I,VS1,61.9,57.0,3669,6.24,6.19,3.85
37064,37065,0.43,Premium,F,VS2,61.0,57.0,968,4.87,4.84,2.96
49294,49295,0.33,Ideal,H,VS2,61.0,55.0,539,4.49,4.52,2.75
10859,10860,1.03,Ideal,H,VS1,61.5,57.0,4874,6.49,6.45,3.98
34522,34523,0.33,Premium,G,VVS1,61.9,59.0,868,4.38,4.41,2.72
34611,34612,0.22,Premium,F,SI1,61.7,60.0,470,3.9,3.85,2.39
34382,34383,0.41,Very Good,F,VS2,61.1,56.0,863,4.79,4.84,2.94
5757,5758,1.04,Premium,G,SI2,60.6,59.0,3896,6.6,6.56,3.99
50038,50039,0.71,Fair,F,SI1,57.0,68.0,2198,6.05,5.87,3.4
24636,24637,1.59,Ideal,H,VVS2,62.6,54.0,12971,7.43,7.47,4.67
11986,11987,1.09,Ideal,F,SI2,61.6,55.0,5143,6.59,6.65,4.08
53527,53528,0.76,Ideal,H,VVS2,61.8,57.0,2690,5.84,5.91,3.63
6140,6141,0.93,Ideal,H,SI1,62.8,56.0,3988,6.19,6.27,3.91
6912,6913,0.96,Very Good,G,SI1,62.0,59.0,4136,6.26,6.32,3.9
46468,46469,0.63,Premium,E,SI2,58.5,61.0,1775,5.64,5.58,3.28
38603,38604,0.31,Very Good,E,VVS1,60.0,56.0,1039,4.45,4.49,2.68
95,96,0.7,Good,E,VS2,57.5,58.0,2759,5.85,5.9,3.38
7654,7655,1.0,Very Good,F,SI2,63.3,58.0,4269,6.26,6.29,3.97
53896,53897,0.83,Ideal,G,SI2,62.4,54.0,2751,6.01,6.08,3.77
40340,40341,0.33,Premium,D,VVS1,61.8,58.0,1129,4.4,4.43,2.73
10500,10501,1.02,Ideal,E,SI2,62.9,57.0,4798,6.44,6.38,4.03
19824,19825,1.31,Ideal,H,VS1,62.4,56.0,8392,7.0,6.98,4.36
7361,7362,1.0,Good,D,SI2,61.5,63.0,4218,6.27,6.32,3.87
13315,13316,1.07,Premium,H,VS2,62.4,59.0,5498,6.53,6.46,4.05
20339,20340,1.22,Premium,G,VS1,62.2,59.0,8739,6.87,6.82,4.26
1457,1458,0.76,Ideal,E,SI2,62.1,56.0,2978,5.85,5.88,3.64
5201,5202,0.73,Ideal,E,VVS2,62.0,57.0,3780,5.73,5.79,3.57
23654,23655,1.52,Good,F,VS2,64.2,59.0,11696,7.16,7.2,4.61
23945,23946,1.22,Ideal,G,VVS1,61.5,56.0,12081,6.86,6.9,4.23
13970,13971,1.85,Very Good,H,I1,63.3,56.0,5688,7.8,7.75,4.92
33240,33241,0.41,Ideal,I,VS1,61.9,55.0,824,4.79,4.81,2.97
29285,29286,0.24,Ideal,G,VS1,62.3,57.0,436,3.99,4.02,2.49
53655,53656,0.76,Good,F,SI1,57.9,56.0,2706,6.08,6.0,3.5
33253,33254,0.32,Ideal,E,VS1,61.8,56.0,825,4.4,4.43,2.73
1796,1797,0.7,Very Good,D,VS2,62.6,58.0,3053,5.67,5.7,3.56
24389,24390,0.41,Very Good,E,SI2,63.0,57.0,638,4.7,4.73,2.97
28786,28787,0.37,Premium,D,SI1,61.9,59.0,681,4.62,4.65,2.87
41980,41981,0.51,Ideal,D,SI2,61.9,56.0,1264,5.1,5.15,3.17
3018,3019,0.71,Ideal,G,VVS2,61.7,57.0,3307,5.72,5.74,3.53
33162,33163,0.31,Ideal,G,VVS1,60.7,57.0,816,4.37,4.4,2.66
11142,11143,1.15,Very Good,D,SI2,63.5,58.0,4939,6.73,6.69,4.26
15798,15799,1.17,Ideal,G,VS2,62.2,57.0,6321,6.75,6.72,4.19
48057,48058,0.55,Premium,E,VS2,61.1,58.0,1928,5.28,5.3,3.23
22371,22372,0.31,Very Good,H,VS2,63.1,58.0,628,4.34,4.31,2.73
11923,11924,1.09,Ideal,H,SI1,62.5,56.0,5125,6.53,6.58,4.1
22904,22905,1.24,Ideal,G,VS1,61.8,55.0,10946,6.85,6.89,4.25
39989,39990,0.41,Premium,F,VS2,61.3,58.0,1107,4.84,4.79,2.95
21666,21667,1.51,Premium,H,SI1,60.3,62.0,9762,7.54,7.41,4.51
38903,38904,0.33,Ideal,E,VVS1,61.5,56.0,1052,4.49,4.46,2.75
16434,16435,1.02,Ideal,G,VS1,62.2,57.0,6563,6.43,6.47,4.01
6703,6704,0.25,Very Good,D,VS1,62.1,60.0,410,4.03,4.05,2.51
52219,52220,0.5,Ideal,D,VVS2,61.4,55.0,2482,5.13,5.16,3.16
21842,21843,1.0,Premium,F,VVS1,61.0,60.0,9901,6.43,6.39,3.91
48492,48493,0.54,Ideal,G,VVS2,61.9,57.0,1981,5.22,5.25,3.24
27692,27693,0.41,Ideal,J,VS1,62.4,55.0,648,4.75,4.77,2.97
48449,48450,0.55,Ideal,E,VS1,61.7,55.0,1975,5.27,5.29,3.26
2645,2646,0.9,Very Good,J,VS1,62.3,56.0,3231,6.19,6.23,3.87
25313,25314,2.07,Good,I,SI1,63.6,58.0,13993,8.09,7.99,5.11
26054,26055,1.75,Very Good,E,SI1,60.3,61.0,15255,7.74,7.82,4.69
28612,28613,0.3,Very Good,E,SI1,63.2,57.0,675,4.3,4.25,2.7
18685,18686,1.53,Good,E,SI2,57.1,56.0,7643,7.69,7.65,4.38
186,187,0.7,Very Good,D,VS1,62.7,58.0,2777,5.66,5.73,3.57
17248,17249,1.01,Very Good,D,VS2,62.2,61.0,6905,6.37,6.43,3.98
35841,35842,0.32,Very Good,E,VVS1,60.4,57.0,917,4.42,4.46,2.68
13927,13928,0.96,Ideal,F,VS1,61.2,56.0,5666,6.38,6.34,3.89
8106,8107,1.15,Ideal,J,SI1,61.8,57.0,4347,6.73,6.67,4.14
2166,2167,0.82,Ideal,E,SI2,62.6,55.0,3131,5.94,5.98,3.73
29931,29932,0.38,Ideal,H,VS1,62.1,55.4,714,4.63,4.68,2.89
6316,6317,0.71,Ideal,E,VVS1,61.9,55.0,4027,5.73,5.77,3.56
16648,16649,1.22,Very Good,G,SI1,61.8,58.0,6656,6.82,6.88,4.23
17962,17963,1.0,Premium,E,VS1,61.9,60.0,7260,6.41,6.44,3.98
17239,17240,1.16,Ideal,E,SI1,61.9,57.0,6896,6.72,6.76,4.17
53267,53268,0.7,Premium,F,VS2,62.2,59.0,2648,5.68,5.64,3.52
3867,3868,0.71,Premium,D,VS1,61.6,58.0,3479,5.78,5.72,3.54
34927,34928,0.28,Good,E,SI1,62.6,60.0,373,4.12,4.15,2.59
49229,49230,0.7,Good,H,VS2,63.8,60.0,2083,5.59,5.51,3.54
18686,18687,1.02,Premium,D,VS2,62.5,58.0,7643,6.4,6.37,3.99
32042,32043,0.32,Ideal,G,VVS1,60.3,58.0,779,4.44,4.48,2.69
4932,4933,0.91,Fair,D,SI1,64.7,61.0,3730,6.06,5.99,3.9
29112,29113,0.34,Ideal,H,VS2,61.7,57.0,689,4.48,4.46,2.76
36502,36503,0.41,Ideal,H,VVS1,61.5,55.0,945,4.79,4.81,2.95
280,281,0.72,Premium,D,SI2,62.0,60.0,2795,5.73,5.69,3.54
32738,32739,0.31,Premium,F,VS2,59.7,58.0,802,4.48,4.43,2.66
45271,45272,0.54,Very Good,F,VS2,59.5,58.0,1662,5.29,5.36,3.17
13728,13729,0.27,Ideal,E,VS1,61.6,56.0,603,4.17,4.14,2.56
42829,42830,0.59,Premium,G,SI1,59.8,58.0,1355,5.48,5.43,3.26
18314,18315,1.01,Very Good,D,VS2,63.1,58.0,7448,6.34,6.38,4.01
39877,39878,0.35,Premium,G,VVS1,61.8,57.0,1103,4.53,4.5,2.79
50828,50829,0.74,Ideal,G,SI1,62.7,56.0,2309,5.78,5.74,3.61
22517,22518,1.21,Ideal,E,VS2,61.8,53.0,10556,6.86,6.9,4.25
14802,14803,1.19,Very Good,E,SI1,58.0,63.0,5956,6.9,6.97,4.02
24334,24335,2.02,Very Good,J,SI1,59.8,59.9,12598,8.16,8.21,4.9
13755,13756,1.25,Premium,J,SI1,61.8,55.0,5607,6.91,6.82,4.24
51312,51313,0.31,Ideal,G,VS2,62.3,56.0,544,4.29,4.34,2.69
43468,43469,0.46,Ideal,F,VS1,62.7,56.0,1418,4.91,4.94,3.09
3723,3724,0.36,Good,I,VS1,63.3,56.0,568,4.51,4.56,2.87
39570,39571,0.44,Ideal,D,VS2,60.4,56.0,1081,4.91,4.95,2.98
25331,25332,1.08,Ideal,E,VVS1,61.7,55.0,14032,6.6,6.63,4.08
44819,44820,0.5,Ideal,E,VS2,61.6,55.0,1624,5.09,5.14,3.15
8810,8811,1.2,Good,I,SI2,64.1,57.0,4476,6.7,6.62,4.27
3281,3282,0.91,Premium,G,SI2,61.3,60.0,3363,6.2,6.17,3.79
49307,49308,0.3,Ideal,I,VVS1,61.8,54.0,540,4.32,4.35,2.68
23006,23007,1.7,Premium,I,VS2,61.7,59.0,11062,7.63,7.57,4.69
14146,14147,1.22,Premium,D,SI1,62.3,60.0,5739,6.84,6.8,4.25
40396,40397,0.5,Very Good,H,SI1,60.9,61.0,1133,5.06,5.15,3.11
38881,38882,0.4,Ideal,D,VS2,61.3,56.0,1050,4.79,4.74,2.92
51788,51789,0.7,Fair,H,VS1,65.8,56.0,2415,5.54,5.49,3.63
5886,5887,1.01,Premium,E,SI2,59.4,59.0,3928,6.51,6.49,3.86
7732,7733,0.3,Ideal,H,VVS2,62.5,55.0,581,4.29,4.32,2.69
16419,16420,1.03,Ideal,G,VS1,62.1,57.0,6558,6.44,6.47,4.01
17792,17793,1.33,Premium,H,SI1,61.9,58.0,7171,6.98,7.04,4.34
13787,13788,1.04,Premium,F,SI1,62.5,60.0,5621,6.43,6.46,4.03
9701,9702,0.32,Ideal,D,SI1,62.7,54.0,589,4.35,4.39,2.74
20777,20778,1.14,Ideal,G,VVS2,61.0,56.0,9013,6.74,6.76,4.12
46530,46531,0.51,Premium,G,VS1,62.9,58.0,1781,5.1,5.05,3.19
39292,39293,0.3,Ideal,H,VS2,62.3,54.0,491,4.31,4.36,2.7
6319,6320,1.01,Good,F,SI2,61.3,62.0,4028,6.44,6.48,3.96
10118,10119,1.02,Very Good,D,SI2,63.4,59.0,4718,6.41,6.37,4.05
30555,30556,0.31,Premium,E,VS1,61.7,58.0,734,4.3,4.36,2.67
37278,37279,0.23,Very Good,G,VVS1,62.0,56.0,484,3.95,3.98,2.46
2845,2846,0.73,Ideal,G,VS1,61.5,56.0,3270,5.8,5.77,3.56
35587,35588,0.41,Very Good,D,SI1,63.4,56.0,907,4.76,4.73,3.01
30334,30335,0.38,Premium,J,VS2,60.5,60.0,727,4.68,4.64,2.82
25918,25919,2.08,Premium,I,SI1,60.3,59.0,15065,8.26,8.22,4.97
3578,3579,0.8,Ideal,F,SI1,60.5,57.0,3420,6.02,6.07,3.66
31712,31713,0.42,Ideal,I,VS1,61.5,55.0,771,4.83,4.86,2.98
50191,50192,0.68,Premium,E,SI1,62.0,59.0,2224,5.67,5.65,3.51
22792,22793,1.51,Good,H,VS1,58.2,58.0,10819,7.49,7.56,4.38
46441,46442,0.53,Ideal,E,VS1,60.4,57.0,1772,5.27,5.26,3.18
49228,49229,0.75,Very Good,J,SI1,62.4,56.0,2083,5.78,5.82,3.62
17644,17645,1.31,Very Good,G,SI2,62.2,58.0,7107,7.05,6.98,4.36
682,683,1.2,Very Good,H,I1,63.1,60.0,2850,6.75,6.67,4.23
12486,12487,1.05,Very Good,D,SI1,61.6,61.0,5255,6.5,6.55,4.02
52021,52022,0.73,Premium,F,VS2,58.9,60.0,2446,5.9,5.81,3.45
4230,4231,0.91,Very Good,D,SI2,58.3,60.0,3573,6.33,6.4,3.71
5935,5936,1.01,Ideal,F,SI2,62.7,57.0,3945,6.37,6.43,4.01
21255,21256,1.6,Ideal,I,SI1,62.4,53.5,9407,7.45,7.5,4.66
13254,13255,1.01,Ideal,I,VVS1,61.7,56.0,5478,6.42,6.47,3.98
22156,22157,1.58,Ideal,I,VS2,61.4,55.0,10197,7.49,7.55,4.62
20604,20605,1.5,Good,E,SI2,63.9,58.0,8910,7.21,7.26,4.62
33771,33772,0.48,Ideal,G,SI2,62.0,54.0,841,5.04,5.06,3.13
5001,5002,1.09,Very Good,D,SI2,63.4,59.0,3742,6.59,6.54,4.16
2923,2924,1.03,Premium,I,SI1,58.4,60.0,3288,6.6,6.58,3.85
35015,35016,0.4,Premium,E,SI1,61.0,59.0,882,4.74,4.71,2.88
21024,21025,1.51,Premium,H,VS1,59.8,61.0,9234,7.41,7.35,4.41
49646,49647,0.3,Premium,H,SI1,59.5,62.0,540,4.35,4.32,2.58
33753,33754,0.31,Ideal,F,VVS1,62.0,54.0,840,4.34,4.37,2.7
19863,19864,1.22,Premium,F,VS2,59.8,59.0,8417,6.96,6.92,4.15
2691,2692,0.9,Good,I,VS2,63.7,61.0,3246,6.1,6.06,3.87
7827,7828,0.9,Very Good,G,VS1,62.4,58.0,4297,6.14,6.16,3.84
4811,4812,0.9,Good,H,VS2,63.6,61.0,3701,6.03,5.97,3.8
38359,38360,0.33,Ideal,F,VVS1,62.4,55.0,1021,4.47,4.44,2.78
3446,3447,1.0,Fair,F,SI1,68.7,55.0,3387,6.06,5.88,4.11
28825,28826,0.41,Very Good,H,SI1,62.8,56.0,683,4.72,4.77,2.98
24633,24634,1.53,Premium,E,SI1,61.3,59.0,12968,7.4,7.35,4.52
31983,31984,0.3,Ideal,F,VS2,62.7,57.0,776,4.31,4.27,2.69
42276,42277,0.23,Very Good,D,VVS2,61.9,60.0,505,3.9,3.95,2.43
38708,38709,0.37,Premium,E,VS2,59.1,60.0,1041,4.68,4.66,2.76
8156,8157,1.02,Ideal,H,SI2,61.0,58.0,4360,6.5,6.54,3.98
39395,39396,0.41,Premium,G,VVS2,61.6,56.0,1076,4.78,4.76,2.94
22270,22271,1.27,Very Good,G,VVS2,61.5,58.0,10321,6.9,6.96,4.26
40903,40904,0.47,Ideal,I,IF,62.2,55.0,1178,4.99,5.01,3.11
31619,31620,0.24,Very Good,F,VS1,62.5,55.0,373,3.94,3.97,2.47
53080,53081,0.7,Good,H,VVS2,60.5,62.0,2611,5.66,5.74,3.45
16098,16099,1.2,Premium,F,SI1,62.9,58.0,6435,6.76,6.69,4.23
17628,17629,1.5,Fair,H,SI2,59.3,58.0,7098,7.31,7.37,4.35
53132,53133,0.72,Ideal,D,SI2,61.8,56.0,2618,5.75,5.78,3.56
19746,19747,1.5,Good,I,VS2,61.9,60.0,8316,7.25,7.28,4.5
25266,25267,1.84,Premium,H,SI1,59.7,58.0,13905,8.01,7.98,4.77
39907,39908,0.5,Very Good,E,SI2,60.6,59.0,1104,5.07,5.12,3.09
47935,47936,0.56,Premium,E,VS2,61.9,55.0,1915,5.31,5.25,3.27
33165,33166,0.36,Ideal,F,VVS2,61.4,56.0,817,4.58,4.61,2.82
46556,46557,0.51,Ideal,E,VS2,61.8,57.0,1781,5.15,5.14,3.18
26294,26295,1.52,Ideal,F,VS2,62.9,53.0,15792,7.36,7.31,4.61
1231,1232,0.79,Very Good,E,SI2,59.2,59.0,2941,6.04,6.06,3.58
7751,7752,1.02,Ideal,I,VS2,62.7,56.0,4281,6.37,6.43,4.01
108,109,0.81,Ideal,F,SI2,58.8,57.0,2761,6.14,6.11,3.6
